                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.58389,                 3.2297,                 1.1254,                0.54388,                 5.2556,                 1.0917,                0.73477,                0.02644,                0.21095,                 0.1942,                0.47688,                 3.3764,                 1.0292,                0.41892,                 7.6757,                0.98411,             0.00020625,             0.00020625,             0.00020625
                      2,                 0.5872,                 2.1191,                 1.0943,                0.56538,                 4.1415,                 1.0534,                0.35658,                0.34126,                0.28912,                0.24319,                 0.6055,                 2.6403,                 1.1479,                0.57744,                 6.7248,                 1.1146,             0.00041322,             0.00041322,             0.00041322
                      3,                 0.6027,                 1.7704,                 1.0864,                0.60618,                  3.605,                 1.0654,                0.37369,                0.41891,                0.42407,                0.37134,                0.57693,                 1.9613,                 1.0892,                0.56467,                 5.3176,                 1.0814,             0.00061881,             0.00061881,             0.00061881
                      4,                 0.5886,                 1.5765,                 1.0684,                0.63218,                 3.1079,                 1.0653,                0.44988,                0.56879,                 0.4827,                0.42455,                0.49837,                 1.8045,                 1.0252,                0.50851,                 4.4321,                 1.0171,             0.00061881,             0.00061881,             0.00061881
                      5,                0.56175,                 1.4196,                 1.0412,                 0.6132,                 2.6088,                 1.0481,                0.50128,                0.51569,                0.49407,                0.44832,                0.42238,                 1.5783,                0.95106,                0.44992,                 3.7189,                 0.9705,             0.00061881,             0.00061881,             0.00061881
                      6,                0.55584,                 1.3513,                 1.0512,                0.61168,                 2.3267,                 1.0608,                0.49917,                0.65248,                0.60444,                0.54495,                0.45573,                 1.5065,                0.98166,                0.48315,                 3.0806,                  0.998,             0.00061675,             0.00061675,             0.00061675
                      7,                0.54515,                 1.2161,                 1.0304,                0.59961,                 1.9914,                 1.0396,                0.57359,                0.66863,                0.64299,                0.58278,                0.47913,                 1.3502,                 1.0186,                0.48044,                 2.5461,                 1.0129,             0.00061469,             0.00061469,             0.00061469
                      8,                0.51408,                 1.1248,                 1.0208,                0.57358,                 1.7444,                  1.032,                 0.6795,                0.67112,                0.73521,                0.66742,                0.42499,                 1.0266,                0.95643,                0.45971,                 1.9498,                0.97801,             0.00061262,             0.00061262,             0.00061262
                      9,                0.50329,                  1.103,                 1.0132,                0.55729,                 1.5856,                 1.0257,                0.60628,                0.67021,                0.69196,                0.63792,                0.40508,                 1.1233,                0.92861,                0.42433,                 1.8439,                0.95307,             0.00061056,             0.00061056,             0.00061056
                     10,                 0.4889,                 1.0104,                 1.0053,                0.54651,                   1.42,                 1.0184,                 0.7326,                0.65562,                0.76708,                0.71267,                0.38787,                0.97098,                0.91592,                0.41533,                 1.5502,                0.93761,              0.0006085,              0.0006085,              0.0006085
                     11,                0.48087,                0.97452,                0.99121,                  0.545,                 1.3149,                 1.0044,                0.68348,                0.75334,                0.78227,                0.73515,                0.36494,                0.87365,                0.90249,                0.38035,                 1.3126,                0.91438,             0.00060644,             0.00060644,             0.00060644
                     12,                0.48584,                0.93227,                0.99753,                0.54715,                 1.2091,                  1.009,                0.80671,                0.72314,                 0.8466,                0.77462,                0.38722,                0.77088,                0.92327,                0.42112,                 1.1454,                0.95633,             0.00060437,             0.00060437,             0.00060437
                     13,                0.46572,                 0.8738,                0.98751,                0.53523,                 1.1149,                  1.003,                0.77811,                0.76129,                0.83317,                0.77574,                0.36528,                0.74587,                0.90197,                 0.3946,                 1.0177,                 0.9247,             0.00060231,             0.00060231,             0.00060231
                     14,                0.45579,                0.82729,                0.97627,                0.52053,                 1.0264,                0.99116,                0.77721,                0.79952,                0.87361,                0.81495,                0.36722,                0.69891,                0.89882,                0.39275,                0.90085,                0.90916,             0.00060025,             0.00060025,             0.00060025
                     15,                0.46238,                 0.8212,                0.98117,                0.52518,                 1.0043,                0.99648,                0.78278,                0.80204,                0.87029,                0.80375,                0.38247,                0.67319,                 0.9047,                0.40054,                0.87862,                0.91421,             0.00059819,             0.00059819,             0.00059819
                     16,                0.46525,                0.83134,                0.97943,                0.53913,                0.98993,                0.99337,                0.82424,                0.83712,                0.89879,                0.83207,                0.38217,                0.58568,                0.90742,                0.41505,                0.73973,                0.92671,             0.00059612,             0.00059612,             0.00059612
                     17,                0.44614,                0.76541,                0.97529,                0.51147,                 0.9145,                 0.9931,                0.81943,                0.74102,                0.87622,                0.81503,                0.36089,                0.67069,                0.90422,                0.40701,                0.85078,                0.92658,             0.00059406,             0.00059406,             0.00059406
                     18,                0.44592,                0.74149,                0.97647,                0.50871,                0.88468,                0.99251,                0.84332,                0.85233,                0.91102,                0.85472,                0.35424,                0.56204,                0.89113,                0.37487,                0.67163,                0.91039,               0.000592,               0.000592,               0.000592
                     19,                0.44503,                 0.7528,                0.97376,                0.50903,                 0.8726,                0.99168,                0.81097,                0.86722,                0.91872,                0.87191,                0.35086,                0.56741,                0.88582,                0.36283,                0.65596,                0.89638,             0.00058994,             0.00058994,             0.00058994
                     20,                0.44235,                0.71031,                 0.9786,                0.50413,                0.82319,                0.99624,                0.85212,                0.86818,                0.92501,                0.86912,                0.34966,                0.49943,                 0.8862,                0.37915,                0.58289,                0.90789,             0.00058787,             0.00058787,             0.00058787
                     21,                0.44183,                0.70542,                0.97933,                0.50466,                0.81571,                0.99399,                0.83564,                0.82892,                0.90362,                0.84769,                 0.3578,                0.56215,                0.88808,                0.38192,                0.65777,                0.90499,             0.00058581,             0.00058581,             0.00058581
                     22,                0.43286,                0.66125,                  0.966,                0.49887,                0.76482,                0.98349,                0.84444,                0.82257,                 0.9103,                   0.86,                0.32887,                0.51392,                0.87074,                 0.3607,                0.60324,                0.88913,             0.00058375,             0.00058375,             0.00058375
